class,coco_image_id,preview_path,review_status
laptop,316708,data/v3/coco/previews/coco_train2017_000000316708.jpg,visual_review_approved
laptop,385401,data/v3/coco/previews/coco_train2017_000000385401.jpg,visual_review_approved
laptop,458935,data/v3/coco/previews/coco_train2017_000000458935.jpg,visual_review_approved
laptop,200680,data/v3/coco/previews/coco_train2017_000000200680.jpg,visual_review_approved
laptop,391175,data/v3/coco/previews/coco_train2017_000000391175.jpg,visual_review_approved
laptop,243796,data/v3/coco/previews/coco_train2017_000000243796.jpg,visual_review_approved
laptop,356790,data/v3/coco/previews/coco_train2017_000000356790.jpg,visual_review_approved
laptop,129951,data/v3/coco/previews/coco_train2017_000000129951.jpg,visual_review_approved
laptop,300620,data/v3/coco/previews/coco_train2017_000000300620.jpg,visual_review_approved
laptop,93894,data/v3/coco/previews/coco_train2017_000000093894.jpg,visual_review_approved
laptop,232250,data/v3/coco/previews/coco_train2017_000000232250.jpg,visual_review_approved
laptop,430889,data/v3/coco/previews/coco_train2017_000000430889.jpg,visual_review_approved
laptop,487548,data/v3/coco/previews/coco_train2017_000000487548.jpg,visual_review_approved
laptop,73226,data/v3/coco/previews/coco_train2017_000000073226.jpg,visual_review_approved
laptop,357992,data/v3/coco/previews/coco_train2017_000000357992.jpg,visual_review_approved
laptop,224056,data/v3/coco/previews/coco_train2017_000000224056.jpg,visual_review_approved
laptop,419501,data/v3/coco/previews/coco_train2017_000000419501.jpg,visual_review_approved
laptop,119909,data/v3/coco/previews/coco_train2017_000000119909.jpg,visual_review_approved
laptop,151864,data/v3/coco/previews/coco_train2017_000000151864.jpg,visual_review_approved
laptop,125773,data/v3/coco/previews/coco_train2017_000000125773.jpg,visual_review_approved
keyboard,141828,data/v3/coco/previews/coco_train2017_000000141828.jpg,visual_review_approved
keyboard,211644,data/v3/coco/previews/coco_train2017_000000211644.jpg,visual_review_approved
keyboard,241421,data/v3/coco/previews/coco_train2017_000000241421.jpg,visual_review_approved
keyboard,299952,data/v3/coco/previews/coco_train2017_000000299952.jpg,visual_review_approved
keyboard,254169,data/v3/coco/previews/coco_train2017_000000254169.jpg,visual_review_approved
keyboard,40304,data/v3/coco/previews/coco_train2017_000000040304.jpg,visual_review_approved
keyboard,127342,data/v3/coco/previews/coco_train2017_000000127342.jpg,visual_review_approved
keyboard,530047,data/v3/coco/previews/coco_train2017_000000530047.jpg,visual_review_approved
keyboard,458935,data/v3/coco/previews/coco_train2017_000000458935.jpg,visual_review_approved
keyboard,297876,data/v3/coco/previews/coco_train2017_000000297876.jpg,visual_review_approved
keyboard,391175,data/v3/coco/previews/coco_train2017_000000391175.jpg,visual_review_approved
keyboard,438855,data/v3/coco/previews/coco_train2017_000000438855.jpg,visual_review_approved
keyboard,119909,data/v3/coco/previews/coco_train2017_000000119909.jpg,visual_review_approved
keyboard,526801,data/v3/coco/previews/coco_train2017_000000526801.jpg,visual_review_approved
keyboard,339290,data/v3/coco/previews/coco_train2017_000000339290.jpg,visual_review_approved
keyboard,498156,data/v3/coco/previews/coco_train2017_000000498156.jpg,visual_review_approved
keyboard,322321,data/v3/coco/previews/coco_train2017_000000322321.jpg,visual_review_approved
keyboard,316708,data/v3/coco/previews/coco_train2017_000000316708.jpg,visual_review_approved
keyboard,356790,data/v3/coco/previews/coco_train2017_000000356790.jpg,visual_review_approved
keyboard,155107,data/v3/coco/previews/coco_train2017_000000155107.jpg,visual_review_approved
cup,396172,data/v3/coco/previews/coco_train2017_000000396172.jpg,visual_review_approved
cup,381192,data/v3/coco/previews/coco_train2017_000000381192.jpg,visual_review_approved
cup,285486,data/v3/coco/previews/coco_train2017_000000285486.jpg,visual_review_approved
cup,487548,data/v3/coco/previews/coco_train2017_000000487548.jpg,visual_review_approved
cup,339290,data/v3/coco/previews/coco_train2017_000000339290.jpg,visual_review_approved
cup,510609,data/v3/coco/previews/coco_train2017_000000510609.jpg,visual_review_approved
cup,232250,data/v3/coco/previews/coco_train2017_000000232250.jpg,visual_review_approved
cup,444941,data/v3/coco/previews/coco_train2017_000000444941.jpg,visual_review_approved
cup,73226,data/v3/coco/previews/coco_train2017_000000073226.jpg,visual_review_approved
cup,357992,data/v3/coco/previews/coco_train2017_000000357992.jpg,visual_review_approved
cup,378028,data/v3/coco/previews/coco_train2017_000000378028.jpg,visual_review_approved
cup,214087,data/v3/coco/previews/coco_train2017_000000214087.jpg,visual_review_approved
cup,432424,data/v3/coco/previews/coco_train2017_000000432424.jpg,visual_review_approved
cup,119909,data/v3/coco/previews/coco_train2017_000000119909.jpg,visual_review_approved
cup,299952,data/v3/coco/previews/coco_train2017_000000299952.jpg,visual_review_approved
cup,135478,data/v3/coco/previews/coco_train2017_000000135478.jpg,visual_review_approved
cup,149327,data/v3/coco/previews/coco_train2017_000000149327.jpg,visual_review_approved
cup,342130,data/v3/coco/previews/coco_train2017_000000342130.jpg,visual_review_approved
cup,272678,data/v3/coco/previews/coco_train2017_000000272678.jpg,visual_review_approved
cup,5832,data/v3/coco/previews/coco_train2017_000000005832.jpg,visual_review_approved
