coco_image_id,original_coco_split,original_file_name,local_path,image_path,label_path,preview_path,target_classes,instance_count,laptop_instances,keyboard_instances,cup_instances,source,coco_url,license_or_source_metadata,status,sha256,annotation_source,selection_seed,v3_filename
200680,train2017,000000200680.jpg,data/v3/coco/images/coco_train2017_000000200680.jpg,data/v3/coco/images/coco_train2017_000000200680.jpg,data/v3/coco/labels/coco_train2017_000000200680.txt,data/v3/coco/previews/coco_train2017_000000200680.jpg,laptop;keyboard;cup,6,2,2,2,official_COCO_2017,http://images.cocodataset.org/train2017/000000200680.jpg,COCO license_id=4,included_train_auxiliary,d74e08c2257f0d5ee11dfe15bec4cca896a0aa2e14322ae85e73530f4f3047bd,official_COCO_instances_train2017,20260830,coco_train2017_000000200680.jpg
438855,train2017,000000438855.jpg,data/v3/coco/images/coco_train2017_000000438855.jpg,data/v3/coco/images/coco_train2017_000000438855.jpg,data/v3/coco/labels/coco_train2017_000000438855.txt,data/v3/coco/previews/coco_train2017_000000438855.jpg,laptop;keyboard;cup,7,3,2,2,official_COCO_2017,http://images.cocodataset.org/train2017/000000438855.jpg,COCO license_id=1,included_train_auxiliary,65999f3a650fc51a032696f28a528c2a8be171bf65801001773b67b2c65091d2,official_COCO_instances_train2017,20260830,coco_train2017_000000438855.jpg
297876,train2017,000000297876.jpg,data/v3/coco/images/coco_train2017_000000297876.jpg,data/v3/coco/images/coco_train2017_000000297876.jpg,data/v3/coco/labels/coco_train2017_000000297876.txt,data/v3/coco/previews/coco_train2017_000000297876.jpg,laptop;keyboard;cup,7,2,2,3,official_COCO_2017,http://images.cocodataset.org/train2017/000000297876.jpg,COCO license_id=1,included_train_auxiliary,3c7e6a086ed711dafb59382cfef012cbc2d51eae99bfbad4b90c45b761bdaabd,official_COCO_instances_train2017,20260830,coco_train2017_000000297876.jpg
241421,train2017,000000241421.jpg,data/v3/coco/images/coco_train2017_000000241421.jpg,data/v3/coco/images/coco_train2017_000000241421.jpg,data/v3/coco/labels/coco_train2017_000000241421.txt,data/v3/coco/previews/coco_train2017_000000241421.jpg,laptop;keyboard;cup,7,2,3,2,official_COCO_2017,http://images.cocodataset.org/train2017/000000241421.jpg,COCO license_id=2,included_train_auxiliary,1a057af83350a9529764bbb3402b0e2b341f91522e2aa454060b40355bcc0500,official_COCO_instances_train2017,20260830,coco_train2017_000000241421.jpg
453625,train2017,000000453625.jpg,data/v3/coco/images/coco_train2017_000000453625.jpg,data/v3/coco/images/coco_train2017_000000453625.jpg,data/v3/coco/labels/coco_train2017_000000453625.txt,data/v3/coco/previews/coco_train2017_000000453625.jpg,laptop;keyboard;cup,5,3,1,1,official_COCO_2017,http://images.cocodataset.org/train2017/000000453625.jpg,COCO license_id=1,included_train_auxiliary,6bf1884936459d722240d3d2fedfce27edd5c2c131eb0ecc16621771479c7635,official_COCO_instances_train2017,20260830,coco_train2017_000000453625.jpg
487548,train2017,000000487548.jpg,data/v3/coco/images/coco_train2017_000000487548.jpg,data/v3/coco/images/coco_train2017_000000487548.jpg,data/v3/coco/labels/coco_train2017_000000487548.txt,data/v3/coco/previews/coco_train2017_000000487548.jpg,laptop;keyboard;cup,6,2,1,3,official_COCO_2017,http://images.cocodataset.org/train2017/000000487548.jpg,COCO license_id=1,included_train_auxiliary,45d4b64011bcdf22e50a94c6e5537be362a7586b00e98ceea5133c33ebb6746f,official_COCO_instances_train2017,20260830,coco_train2017_000000487548.jpg
155107,train2017,000000155107.jpg,data/v3/coco/images/coco_train2017_000000155107.jpg,data/v3/coco/images/coco_train2017_000000155107.jpg,data/v3/coco/labels/coco_train2017_000000155107.txt,data/v3/coco/previews/coco_train2017_000000155107.jpg,laptop;keyboard;cup,6,2,3,1,official_COCO_2017,http://images.cocodataset.org/train2017/000000155107.jpg,COCO license_id=2,included_train_auxiliary,02e6eff2e5fa539cf751123089969caa331eb23858576d78144f0e2fe14966a3,official_COCO_instances_train2017,20260830,coco_train2017_000000155107.jpg
424470,train2017,000000424470.jpg,data/v3/coco/images/coco_train2017_000000424470.jpg,data/v3/coco/images/coco_train2017_000000424470.jpg,data/v3/coco/labels/coco_train2017_000000424470.txt,data/v3/coco/previews/coco_train2017_000000424470.jpg,laptop;keyboard;cup,6,2,3,1,official_COCO_2017,http://images.cocodataset.org/train2017/000000424470.jpg,COCO license_id=4,included_train_auxiliary,c33744a047ba66e2255f19a147fdd59bd8320ef3c314624aca145aa488bc8ef1,official_COCO_instances_train2017,20260830,coco_train2017_000000424470.jpg
567008,train2017,000000567008.jpg,data/v3/coco/images/coco_train2017_000000567008.jpg,data/v3/coco/images/coco_train2017_000000567008.jpg,data/v3/coco/labels/coco_train2017_000000567008.txt,data/v3/coco/previews/coco_train2017_000000567008.jpg,laptop;cup,5,2,0,3,official_COCO_2017,http://images.cocodataset.org/train2017/000000567008.jpg,COCO license_id=5,included_train_auxiliary,8074a78e34476e3d2a778aeebdb9a363bd8a945dd55a56f4e7be6dd91e96286d,official_COCO_instances_train2017,20260830,coco_train2017_000000567008.jpg
326210,train2017,000000326210.jpg,data/v3/coco/images/coco_train2017_000000326210.jpg,data/v3/coco/images/coco_train2017_000000326210.jpg,data/v3/coco/labels/coco_train2017_000000326210.txt,data/v3/coco/previews/coco_train2017_000000326210.jpg,laptop;keyboard;cup,7,1,2,4,official_COCO_2017,http://images.cocodataset.org/train2017/000000326210.jpg,COCO license_id=2,included_train_auxiliary,4dba42d813ceccfadb4b94bb57df568c55f00fd0b78964e2a2f3df40d7da1855,official_COCO_instances_train2017,20260830,coco_train2017_000000326210.jpg
385980,train2017,000000385980.jpg,data/v3/coco/images/coco_train2017_000000385980.jpg,data/v3/coco/images/coco_train2017_000000385980.jpg,data/v3/coco/labels/coco_train2017_000000385980.txt,data/v3/coco/previews/coco_train2017_000000385980.jpg,laptop;cup,7,3,0,4,official_COCO_2017,http://images.cocodataset.org/train2017/000000385980.jpg,COCO license_id=1,included_train_auxiliary,8ed6a5460f9feaf2f88c3ebad5b4293201f0daed268bc15a067913335819e67a,official_COCO_instances_train2017,20260830,coco_train2017_000000385980.jpg
396172,train2017,000000396172.jpg,data/v3/coco/images/coco_train2017_000000396172.jpg,data/v3/coco/images/coco_train2017_000000396172.jpg,data/v3/coco/labels/coco_train2017_000000396172.txt,data/v3/coco/previews/coco_train2017_000000396172.jpg,laptop;keyboard;cup,8,5,1,2,official_COCO_2017,http://images.cocodataset.org/train2017/000000396172.jpg,COCO license_id=1,included_train_auxiliary,7f1b700ca34960b310899a7f64e4bb7f1fbd3756daaab52b347e05f3e87a3317,official_COCO_instances_train2017,20260830,coco_train2017_000000396172.jpg
484201,train2017,000000484201.jpg,data/v3/coco/images/coco_train2017_000000484201.jpg,data/v3/coco/images/coco_train2017_000000484201.jpg,data/v3/coco/labels/coco_train2017_000000484201.txt,data/v3/coco/previews/coco_train2017_000000484201.jpg,laptop;keyboard,7,3,4,0,official_COCO_2017,http://images.cocodataset.org/train2017/000000484201.jpg,COCO license_id=6,included_train_auxiliary,320b4b22a2cd7c41144c8b206daebacfab0c1925bf5af49be8c49eacd354c66e,official_COCO_instances_train2017,20260830,coco_train2017_000000484201.jpg
33172,train2017,000000033172.jpg,data/v3/coco/images/coco_train2017_000000033172.jpg,data/v3/coco/images/coco_train2017_000000033172.jpg,data/v3/coco/labels/coco_train2017_000000033172.txt,data/v3/coco/previews/coco_train2017_000000033172.jpg,laptop;cup,8,1,0,7,official_COCO_2017,http://images.cocodataset.org/train2017/000000033172.jpg,COCO license_id=4,included_train_auxiliary,feb0c1bb6ec2f46b524acf2bc6ca07ae8d2ab79462bbdb8d1c95d292dde8dcfe,official_COCO_instances_train2017,20260830,coco_train2017_000000033172.jpg
25860,train2017,000000025860.jpg,data/v3/coco/images/coco_train2017_000000025860.jpg,data/v3/coco/images/coco_train2017_000000025860.jpg,data/v3/coco/labels/coco_train2017_000000025860.txt,data/v3/coco/previews/coco_train2017_000000025860.jpg,laptop;cup,6,1,0,5,official_COCO_2017,http://images.cocodataset.org/train2017/000000025860.jpg,COCO license_id=3,included_train_auxiliary,eab01bdcb369835b6e42096fc053fcd8ffb3f5410b9d0edf0fa4215d711e1fb3,official_COCO_instances_train2017,20260830,coco_train2017_000000025860.jpg
333302,train2017,000000333302.jpg,data/v3/coco/images/coco_train2017_000000333302.jpg,data/v3/coco/images/coco_train2017_000000333302.jpg,data/v3/coco/labels/coco_train2017_000000333302.txt,data/v3/coco/previews/coco_train2017_000000333302.jpg,laptop;cup,7,1,0,6,official_COCO_2017,http://images.cocodataset.org/train2017/000000333302.jpg,COCO license_id=5,included_train_auxiliary,661ce33cf26f64476b024f4c1417ce6c6315d90041458eeb4948c0ada594fde7,official_COCO_instances_train2017,20260830,coco_train2017_000000333302.jpg
184835,train2017,000000184835.jpg,data/v3/coco/images/coco_train2017_000000184835.jpg,data/v3/coco/images/coco_train2017_000000184835.jpg,data/v3/coco/labels/coco_train2017_000000184835.txt,data/v3/coco/previews/coco_train2017_000000184835.jpg,laptop;cup,7,1,0,6,official_COCO_2017,http://images.cocodataset.org/train2017/000000184835.jpg,COCO license_id=6,included_train_auxiliary,6f7dfc3547c1e7a358b8bb861256c3ea1d72e135c9391b25165253fe2e448ba2,official_COCO_instances_train2017,20260830,coco_train2017_000000184835.jpg
373880,train2017,000000373880.jpg,data/v3/coco/images/coco_train2017_000000373880.jpg,data/v3/coco/images/coco_train2017_000000373880.jpg,data/v3/coco/labels/coco_train2017_000000373880.txt,data/v3/coco/previews/coco_train2017_000000373880.jpg,laptop;cup,7,1,0,6,official_COCO_2017,http://images.cocodataset.org/train2017/000000373880.jpg,COCO license_id=4,included_train_auxiliary,c4d57df13c948e597d467b97444a76dec66189c2b5f4e6fc2c3c7e2a0d0d1fd2,official_COCO_instances_train2017,20260830,coco_train2017_000000373880.jpg
51083,train2017,000000051083.jpg,data/v3/coco/images/coco_train2017_000000051083.jpg,data/v3/coco/images/coco_train2017_000000051083.jpg,data/v3/coco/labels/coco_train2017_000000051083.txt,data/v3/coco/previews/coco_train2017_000000051083.jpg,laptop;cup,7,1,0,6,official_COCO_2017,http://images.cocodataset.org/train2017/000000051083.jpg,COCO license_id=3,included_train_auxiliary,fbd4781372a5e2f9d687142c014fd7397e2e8e402ef34d4b0ae3f7444bcdc779,official_COCO_instances_train2017,20260830,coco_train2017_000000051083.jpg
24385,train2017,000000024385.jpg,data/v3/coco/images/coco_train2017_000000024385.jpg,data/v3/coco/images/coco_train2017_000000024385.jpg,data/v3/coco/labels/coco_train2017_000000024385.txt,data/v3/coco/previews/coco_train2017_000000024385.jpg,laptop;cup,7,1,0,6,official_COCO_2017,http://images.cocodataset.org/train2017/000000024385.jpg,COCO license_id=4,included_train_auxiliary,0ee0e0dd4b1cee94c6a2cca23fed7fe9796613890622c44c00a65bcbc39490b0,official_COCO_instances_train2017,20260830,coco_train2017_000000024385.jpg
572949,train2017,000000572949.jpg,data/v3/coco/images/coco_train2017_000000572949.jpg,data/v3/coco/images/coco_train2017_000000572949.jpg,data/v3/coco/labels/coco_train2017_000000572949.txt,data/v3/coco/previews/coco_train2017_000000572949.jpg,laptop;cup,8,4,0,4,official_COCO_2017,http://images.cocodataset.org/train2017/000000572949.jpg,COCO license_id=1,included_train_auxiliary,7b2e436b73990772e71f8a532816dbadac93ce6efc2b3ca70be24efdaf61a255,official_COCO_instances_train2017,20260830,coco_train2017_000000572949.jpg
550355,train2017,000000550355.jpg,data/v3/coco/images/coco_train2017_000000550355.jpg,data/v3/coco/images/coco_train2017_000000550355.jpg,data/v3/coco/labels/coco_train2017_000000550355.txt,data/v3/coco/previews/coco_train2017_000000550355.jpg,laptop;cup,7,4,0,3,official_COCO_2017,http://images.cocodataset.org/train2017/000000550355.jpg,COCO license_id=2,included_train_auxiliary,7e353767f1eccd180e9f25aa8468d6e1ed423db6885d0266ac10f7fc86644543,official_COCO_instances_train2017,20260830,coco_train2017_000000550355.jpg
297236,train2017,000000297236.jpg,data/v3/coco/images/coco_train2017_000000297236.jpg,data/v3/coco/images/coco_train2017_000000297236.jpg,data/v3/coco/labels/coco_train2017_000000297236.txt,data/v3/coco/previews/coco_train2017_000000297236.jpg,laptop;cup,7,4,0,3,official_COCO_2017,http://images.cocodataset.org/train2017/000000297236.jpg,COCO license_id=4,included_train_auxiliary,346f5e06cf88254c19a556af76f259ea95489bd64c3e58536b47b23df900d8f4,official_COCO_instances_train2017,20260830,coco_train2017_000000297236.jpg
550405,train2017,000000550405.jpg,data/v3/coco/images/coco_train2017_000000550405.jpg,data/v3/coco/images/coco_train2017_000000550405.jpg,data/v3/coco/labels/coco_train2017_000000550405.txt,data/v3/coco/previews/coco_train2017_000000550405.jpg,laptop;cup,7,1,0,6,official_COCO_2017,http://images.cocodataset.org/train2017/000000550405.jpg,COCO license_id=3,included_train_auxiliary,da7cc1a573cd66fed971788d3a67c5749096e17a401c48288616a5f787877776,official_COCO_instances_train2017,20260830,coco_train2017_000000550405.jpg
135478,train2017,000000135478.jpg,data/v3/coco/images/coco_train2017_000000135478.jpg,data/v3/coco/images/coco_train2017_000000135478.jpg,data/v3/coco/labels/coco_train2017_000000135478.txt,data/v3/coco/previews/coco_train2017_000000135478.jpg,laptop;cup,6,4,0,2,official_COCO_2017,http://images.cocodataset.org/train2017/000000135478.jpg,COCO license_id=4,included_train_auxiliary,a40139f35ba9ba309951b509be05959ec949d574d7b313044e113c0bb40c322b,official_COCO_instances_train2017,20260830,coco_train2017_000000135478.jpg
97330,train2017,000000097330.jpg,data/v3/coco/images/coco_train2017_000000097330.jpg,data/v3/coco/images/coco_train2017_000000097330.jpg,data/v3/coco/labels/coco_train2017_000000097330.txt,data/v3/coco/previews/coco_train2017_000000097330.jpg,laptop;cup,6,4,0,2,official_COCO_2017,http://images.cocodataset.org/train2017/000000097330.jpg,COCO license_id=3,included_train_auxiliary,480eb343c3aff4f82f65be61a15babb01f1eb8714d734fdd7e0d77d418b1935d,official_COCO_instances_train2017,20260830,coco_train2017_000000097330.jpg
