image,split,ground_truth,prediction,confidence,error_type,notes
P01_S03_HDP_0003.jpg,val,headphones,headphones,0.544647,false_positive,IoU=0.291 with headphones
P01_S03_KEY_0015.jpg,val,keyboard,keyboard,0.256996,low_confidence_correct,IoU=0.764
P01_S03_KEY_0015.jpg,val,laptop,laptop,0.809167,false_positive,IoU=0.000 with laptop
P01_S03_MIX_0009.jpg,val,headphones,headphones,0.812220,false_positive,IoU=0.520 with headphones
P01_S03_MIX_0016.jpg,val,keyboard,,,false_negative,best same-class IoU=0.000
P01_S03_MIX_0017.jpg,val,keyboard,keyboard,0.284138,low_confidence_correct,IoU=0.866
P01_S03_MIX_0017.jpg,val,laptop,,,false_negative,best same-class IoU=0.000
P01_S03_MIX_0017.jpg,val,headphones,,,false_negative,best same-class IoU=0.000
P01_S03_MIX_0017.jpg,val,mouse,,,false_negative,best same-class IoU=0.000
P01_S03_MIX_0018.jpg,val,mouse,,,false_negative,best same-class IoU=0.000
P01_S03_MOU_0001.jpg,val,mouse,,,false_negative,best same-class IoU=0.000
P01_S03_MOU_0002.jpg,val,mouse,headphones,0.436080,false_positive,IoU=0.000 with mouse
P01_S03_MOU_0002.jpg,val,mouse,cup,0.362262,false_positive,IoU=0.000 with mouse
P01_S03_MOU_0002.jpg,val,mouse,headphones,0.309561,false_positive,IoU=0.006 with mouse
P01_S04_KEY_0001.jpg,test,keyboard,,,false_negative,best same-class IoU=0.000
P01_S04_KEY_0001.jpg,test,laptop,,,false_negative,best same-class IoU=0.000
P01_S04_KEY_0001.jpg,test,laptop,laptop,0.306540,false_positive,IoU=0.000 with laptop
P01_S04_MIX_0003.jpg,test,keyboard,keyboard,0.438152,low_confidence_correct,IoU=0.675
P01_S04_MIX_0004.jpg,test,cup,cup,0.296985,low_confidence_correct,IoU=0.895
P01_S04_MIX_0004.jpg,test,mouse,mouse,0.450967,low_confidence_correct,IoU=0.795
P01_S04_MIX_0004.jpg,test,laptop,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0004.jpg,test,headphones,,,localization_error,best same-class IoU=0.329
P01_S04_MIX_0004.jpg,test,headphones,headphones,0.413426,false_positive,IoU=0.329 with headphones
P01_S04_MIX_0005.jpg,test,keyboard,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0005.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0005.jpg,test,headphones,cup,0.353567,false_positive,IoU=0.000 with headphones
P01_S04_MIX_0005.jpg,test,laptop,laptop,0.289880,false_positive,IoU=0.502 with laptop
P01_S04_MIX_0006.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0007.jpg,test,cup,cup,0.296399,low_confidence_correct,IoU=0.928
P01_S04_MIX_0007.jpg,test,laptop,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0008.jpg,test,laptop,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0009.jpg,test,cup,cup,0.390485,low_confidence_correct,IoU=0.764
P01_S04_MIX_0009.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0009.jpg,test,laptop,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0010.jpg,test,keyboard,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0010.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0011.jpg,test,cup,cup,0.375867,low_confidence_correct,IoU=0.853
P01_S04_MIX_0013.jpg,test,keyboard,keyboard,0.485433,low_confidence_correct,IoU=0.848
P01_S04_MIX_0013.jpg,test,laptop,laptop,0.362113,low_confidence_correct,IoU=0.802
P01_S04_MIX_0013.jpg,test,mouse,mouse,0.388245,low_confidence_correct,IoU=0.767
P01_S04_MIX_0013.jpg,test,headphones,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0013.jpg,test,headphones,cup,0.367167,false_positive,IoU=0.000 with headphones
P01_S04_MIX_0013.jpg,test,laptop,laptop,0.260755,false_positive,IoU=0.544 with laptop
P01_S04_MIX_0014.jpg,test,laptop,laptop,0.738329,false_positive,IoU=0.051 with laptop
P01_S04_MIX_0015.jpg,test,laptop,laptop,0.281593,low_confidence_correct,IoU=0.505
P01_S04_MIX_0015.jpg,test,cup,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0015.jpg,test,headphones,,,localization_error,best same-class IoU=0.478
P01_S04_MIX_0015.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0015.jpg,test,headphones,headphones,0.783134,false_positive,IoU=0.478 with headphones
P01_S04_MIX_0015.jpg,test,mouse,cup,0.501640,class_confusion,IoU=0.509 with mouse
P01_S04_MIX_0017.jpg,test,headphones,headphones,0.689986,false_positive,IoU=0.000 with headphones
P01_S04_MOU_0002.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
